usage_id,customer_id,usage_time,data_mb,app_type
U0,930,2026-03-05 22:57:32.804020,262.25,YouTube
U1,215,2026-01-07 16:35:53.943468,271.54,Instagram
U2,542,2026-01-10 12:31:02.216677,106.84,Browsing
U3,177,2026-03-02 09:34:38.233603,492.07,Instagram
U4,347,2026-01-08 04:35:59.066478,111.89,YouTube
U5,975,2026-01-21 08:11:03.237886,350.09,YouTube
U6,321,2026-01-09 09:59:36.904293,45.34,Browsing
U7,529,2026-01-06 20:21:07.065532,156.41,WhatsApp
U8,178,2026-03-26 21:56:19.402280,278.35,WhatsApp
U9,245,2026-02-11 15:20:30.855047,461.36,WhatsApp
U10,364,2026-02-12 19:28:25.227684,204.18,YouTube
U11,748,2026-01-17 07:49:47.921778,109.06,Instagram
U12,77,2026-02-01 19:32:16.303059,435.7,Netflix
U13,707,2026-03-05 00:28:37.190192,153.06,WhatsApp
U14,684,2026-01-11 18:17:52.318894,429.44,Browsing
U15,25,2026-04-01 16:31:10.870489,457.94,WhatsApp
U16,264,2026-04-04 23:15:45.754296,24.17,Instagram
U17,120,2026-03-14 19:42:52.545750,191.01,YouTube
U18,606,2026-02-03 06:09:51.424611,491.12,Instagram
U19,589,2026-01-29 09:58:12.990027,396.64,Instagram
U20,280,2026-03-23 07:05:12.191046,411.7,Netflix
U21,283,2026-04-03 10:58:29.623340,359.68,WhatsApp
U22,585,2026-02-01 20:25:29.709111,106.46,Instagram
U23,209,2026-03-24 17:02:18.504648,459.07,YouTube
U24,591,2026-03-13 10:03:00.202363,19.47,Instagram
U25,32,2026-03-15 19:01:23.464391,100.99,Browsing
U26,523,2026-02-09 07:12:16.183182,152.35,WhatsApp
U27,565,2026-03-03 10:06:56.089464,71.88,Instagram
U28,580,2026-02-28 10:26:25.159782,337.13,Instagram
U29,187,2026-01-07 13:52:33.791459,26.48,WhatsApp
U30,908,2026-02-15 21:41:53.012490,482.06,Browsing
U31,629,2026-04-04 22:58:18.526114,57.59,YouTube
U32,221,2026-03-27 10:19:25.423277,175.62,Netflix
U33,271,2026-03-10 14:38:37.166309,457.59,Netflix
U34,971,2026-03-09 01:12:30.867472,452.87,Browsing
U35,854,2026-03-02 07:22:49.721588,478.86,Netflix
U36,171,2026-02-24 08:26:32.081239,253.55,Netflix
U37,738,2026-02-21 22:44:27.836426,197.79,WhatsApp
U38,186,2026-02-15 02:35:04.968611,238.1,WhatsApp
U39,317,2026-03-14 07:54:58.433560,103.27,WhatsApp
U40,216,2026-02-04 10:42:24.768067,64.62,Instagram
U41,697,2026-01-16 10:52:17.873360,8.02,YouTube
U42,95,2026-01-08 06:42:28.101540,446.03,Netflix
U43,481,2026-03-26 09:00:01.100433,436.07,WhatsApp
U44,0,2026-01-17 16:43:28.431929,403.58,Netflix
U45,603,2026-01-15 15:57:03.539542,21.06,YouTube
U46,263,2026-01-26 22:30:39.077512,34.14,WhatsApp
U47,60,2026-03-26 21:45:22.756289,16.39,Netflix
U48,149,2026-01-25 04:56:18.023459,327.37,YouTube
U49,519,2026-03-19 18:10:07.470226,155.53,YouTube
U50,9,2026-01-01 18:00:31.329779,153.34,WhatsApp
U51,498,2026-01-12 15:10:46.484448,124.61,Netflix
U52,266,2026-02-06 21:29:24.078951,75.66,Netflix
U53,36,2026-03-05 23:58:51.841768,374.81,Instagram
U54,975,2026-01-22 07:36:44.178976,327.0,WhatsApp
U55,111,2026-03-15 01:58:08.830589,352.95,Netflix
U56,181,2026-02-13 20:36:38.781342,308.49,YouTube
